"Transmitter","N.detections","First.detection","Last.detection","Receivers"
"A69-9001-1755",3,"2023-04-23 20:49:34","2024-02-15 21:55:39","138239.dpl.1, 139043"
"A69-9001-17859",1,"2023-12-13 11:28:14","2023-12-13 11:28:14","139044"
"A69-9001-19681",44,"2022-06-07 18:43:51","2022-06-07 23:58:47","138239.dpl.1"
"A69-9001-19687",2,"2024-03-22 16:40:37","2024-04-17 02:47:14","138240.dpl.3"
"A69-9001-19691",1,"2022-12-17 22:30:25","2022-12-17 22:30:25","138239.dpl.1"
"A69-9001-20886",1,"2023-11-07 02:36:34","2023-11-07 02:36:34","139043"
"A69-9001-229430",1,"2024-02-05 23:39:05","2024-02-05 23:39:05","138240.dpl.3"
"A69-9001-23171",1,"2024-06-01 20:50:20","2024-06-01 20:50:20","139045"
"A69-9001-23464",178,"2022-10-06 13:29:41","2023-04-27 20:02:04","138239.dpl.1"
"A69-9001-23790",3,"2024-07-30 22:23:37","2024-07-30 22:28:38","138240.dpl.3"
"A69-9001-25616",11,"2023-04-30 21:45:46","2024-03-07 22:17:30","138240.dpl.1, 139043, 139044"
"A69-9001-27575",156,"2022-07-29 07:43:03","2023-08-18 00:41:59","138240.dpl.1, 138239.dpl.1, 139043, 139044"
"A69-9001-2996",4,"2024-04-08 05:41:16","2024-04-08 05:49:58","138240.dpl.3"
"A69-9001-3081",15,"2023-12-17 13:14:57","2024-04-10 20:06:54","138240.dpl.3, 139045"
"A69-9001-3611",4,"2023-12-15 20:39:59","2023-12-15 20:49:39","139041"
"A69-9001-3629",3,"2024-01-09 12:58:37","2024-01-09 13:13:44","139043"
"A69-9001-45667",4,"2024-05-22 11:21:18","2024-05-22 11:28:21","138240.dpl.3"
"A69-9001-45668",5,"2024-06-04 09:35:31","2024-06-05 17:01:13","138240.dpl.3"
"A69-9001-4590",11,"2023-02-17 07:51:16","2024-02-26 08:28:19","138240.dpl.1, 138240.dpl.3, 139043, 139044"
"A69-9001-4591",3,"2023-03-02 19:26:31","2023-03-02 19:30:50","138240.dpl.1"
